feature,holiday_shap,non_holiday_shap,difference
hist_avg_stop_dow,45.70974372354787,45.78150088082068,-0.07175715727281329
hour,23.586984467135185,19.94544179185104,3.641542675284146
month,19.63344641583186,26.366971741261647,-6.733525325429788
is_holiday,11.959769429076271,0.4637505902760777,11.496018838800193
hist_avg_stop_hour,3.234704555616054,2.7895710931293607,0.44513346248669317
hist_std_stop_hour_dow,3.173818211563371,3.125465375680032,0.04835283588333894
hist_avg_stop_hour_dow,2.606441183695245,2.3277821760863167,0.27865900760892837
dow,2.213172291284794,1.4497946258340118,0.7633776654507824
is_rush_hour,0.6852993129878177,0.6743740634494289,0.010925249538388804
is_night,0.41556201739140936,0.8773211276130024,-0.46175911022159305
is_weekend,0.32711997855087377,0.3326246592777519,-0.005504680726878153
is_match_day,0.13954663792483726,0.2680593676618647,-0.12851272973702746
