feature,overall,match_day,non_match_day,holiday,non_holiday,non_rush_hour,weekend,weekday
dow,0.318864203040501,0.7847467348319214,0.31368249641794704,0.737739488305813,0.30412118057774634,0.318864203040501,0.35085238507818695,0.30803018690190037
hist_avg_stop_dow,3.874580272768055,4.918698788866229,3.8629672255718175,4.34919327285557,3.8578754673819518,3.874580272768055,4.084785189433737,3.803386371942862
hist_avg_stop_hour,0.4911066155379116,0.9198484804451135,0.4863380002558293,0.9258587402515035,0.47580478092066303,0.4911066155379116,0.5330154137069129,0.4769126049130691
hist_avg_stop_hour_dow,4.683374024774881,6.324711681313999,4.665118499777986,5.251439082305065,4.663380016538826,4.683374024774881,4.904963207567932,4.608324408648185
hour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_holiday,0.1800721721629002,0.07500526025608976,0.1812407626896696,2.39398071966531,0.102149925149358,0.1800721721629002,0.09693174437642695,0.20823084449218757
is_match_day,0.24531470016750248,6.452757448648472,0.17627337536134377,0.27179770495369293,0.24438258612740882,0.24531470016750248,0.25502679672559336,0.24202532877634156
is_night,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_rush_hour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_weekend,0.08001830683992688,0.24540872661756108,0.07817877739851739,0.08624922487192392,0.0797989991659228,0.08001830683992688,0.14584186165224655,0.05772465306815071
month,3.9014661176556826,5.364591794363477,3.885192727924859,2.4618275650134076,3.952136625719701,3.9014661176556826,3.571688930517708,4.013157721867081
