rank,feature,mean_abs_shap,mean_shap,std_shap
1,hist_avg_stop_hour_dow,4.683374024774881,0.034286281795627226,5.4444478726408105
2,month,3.9014661176556826,-0.1384741519638521,4.7793357056940575
3,hist_avg_stop_dow,3.874580272768055,-0.007335179943536195,4.723336755330248
4,hist_avg_stop_hour,0.4911066155379116,-0.09269236915295011,0.6694783416442991
5,dow,0.318864203040501,-0.00612089100158652,0.4880956603840472
6,is_match_day,0.24531470016750248,-0.1033540362972358,0.8047739903164749
7,is_holiday,0.1800721721629002,-0.022452445383526656,0.5996568614503206
8,is_weekend,0.08001830683992688,-0.010527439812416705,0.14506368103179204
9,hour,0.0,0.0,0.0
10,is_rush_hour,0.0,0.0,0.0
11,is_night,0.0,0.0,0.0
